factor,factor_iri,factor_label,cfde_disease
Amyloid Fibril Formation and Neurodegeneration,https://purl.org/okn/frink/kg/digcfdekg/node/factor/73a193df22dfda6c7deb,Amyloid Fibril Formation and Neurodegeneration (trait context: Amyloidosis),Amyloidosis
Amyloid Fibril Formation and Trophoblasts,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9e03a354b9849886157b,Amyloid Fibril Formation and Trophoblasts (trait context: Amyloidosis),Amyloidosis
Amyloid Formation and Innate Immunity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5709002df1e6955eb1a1,Amyloid Formation and Innate Immunity (trait context: Amyloidosis),Amyloidosis
Amyloid Formation and Upregulated Genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/da0843aa6568d78e442b,Amyloid Formation and Upregulated Genes (trait context: Amyloidosis),Amyloidosis
Androgen Responsive Prostate,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3bf0246497cbaaa8f7c7,Androgen Responsive Prostate (trait context: prostate carcinoma),prostate carcinoma
Angiogenesis and adipogenesis regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/04b71f1190a01187a8ca,Angiogenesis and adipogenesis regulation (trait context: Type 2 diabetes (T2D)),Type 2 diabetes (T2D)
Antigen presentation and HLA diversity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/be4e6fe6e52361024a19,Antigen presentation and HLA diversity (trait context: Non-Hodgkin's lymphoma),Non-Hodgkin's lymphoma
Antigen presentation and immune regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a78e964e7e91e99dfd85,Antigen presentation and immune regulation (trait context: ankylosing spondylitis),ankylosing spondylitis
Antigen presentation HLA class II,https://purl.org/okn/frink/kg/digcfdekg/node/factor/284d48e68c3e4b48ffdf,Antigen presentation HLA class II (trait context: Systemic lupus erythematosus (SLE)),Systemic lupus erythematosus (SLE)
Antigen processing and HLA genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4f5dc527367d37718815,Antigen processing and HLA genes (trait context: Takayasu arteritis),Takayasu arteritis
Antigen processing and presentation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c321a24e1ba621f575bd,Antigen processing and presentation (trait context: Narcolepsy),Narcolepsy
Antiviral defense and innate activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ebc31363dce0fd0211de,Antiviral defense and innate activation (trait context: Vasculitis),Vasculitis
AP1 and ATF2 Pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0d9a5353f6178bc5de88,AP1 and ATF2 Pathways (trait context: Ovarian cancer),Ovarian cancer
Apoptosis pathways and p53 miRNA,https://purl.org/okn/frink/kg/digcfdekg/node/factor/81caf66c2f2f83d53bb9,Apoptosis pathways and p53 miRNA (trait context: clear cell renal carcinoma),clear cell renal carcinoma
Arrested B-cell differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/aace8dd1e0d79b0b7332,Arrested B-cell differentiation (trait context: Acute lymphoblastic leukemia),Acute lymphoblastic leukemia
Arrested immature B cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/eac2adfaf36ba1902657,Arrested immature B cells (trait context: Acute lymphoblastic leukemia),Acute lymphoblastic leukemia
Asthma and Leishmania Immune Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bff0a1136cc1fac26141,Asthma and Leishmania Immune Signaling (trait context: Interstitial lung disease),Interstitial lung disease
ATM,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9af841a5a4e64b36f781,ATM (trait context: Non-Hodgkin lymphoma),Non-Hodgkin lymphoma
ATM and BRCA Pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/01e1ac96edff398d02c8,ATM and BRCA Pathways (trait context: Hereditary breast and/or ovarian cancer syndrome),Hereditary breast and/or ovarian cancer syndrome
ATM/ATR DNA Damage Response,https://purl.org/okn/frink/kg/digcfdekg/node/factor/88369748925e7f97dc4b,ATM/ATR DNA Damage Response (trait context: Hereditary breast and/or ovarian cancer syndrome),Hereditary breast and/or ovarian cancer syndrome
Atrial and myocardial necrosis genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/01fc10ad93411f274402,Atrial and myocardial necrosis genes (trait context: Dilated cardiomyopathy),Dilated cardiomyopathy
Atrial and ventricular development genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3c59dbcb96717689a7c9,Atrial and ventricular development genes (trait context: Tetralogy of Fallot),Tetralogy of Fallot
Atrial and Ventricular Heart Traits,https://purl.org/okn/frink/kg/digcfdekg/node/factor/94e9a9fe9bdc02684179,Atrial and Ventricular Heart Traits (trait context: Rare cardiomyopathy),Rare cardiomyopathy
Atrial appendage upregulation genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/cf2f4b830cce93695cea,Atrial appendage upregulation genes (trait context: Dilated cardiomyopathy),Dilated cardiomyopathy
Atrial Contractile Program,https://purl.org/okn/frink/kg/digcfdekg/node/factor/01ce1088d653906d2bed,Atrial Contractile Program (trait context: Dilated cardiomyopathy; strict definition),Dilated cardiomyopathy; strict definition
Autoantibodies and B cell increase,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e43f6be5ada3d9691e43,Autoantibodies and B cell increase (trait context: Systemic lupus erythematosus),Systemic lupus erythematosus
Autoimmune antibodies and B cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9fc89de08b565eae62ab,Autoimmune antibodies and B cells (trait context: Childhood-onset asthma),Childhood-onset asthma
Autoimmune Diabetes and Cytokine Genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a53e5855904b8910a366,Autoimmune Diabetes and Cytokine Genes (trait context: Severe autoimmune type 2 diabetes),Severe autoimmune type 2 diabetes
Autoimmune gland inflammation and cytokines,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ea689eaf4c6ad2fe9924,Autoimmune gland inflammation and cytokines (trait context: Psoriasis),Psoriasis
Autoimmune inflammation and lymphoid changes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bfa061db34ab5e99eb19,Autoimmune inflammation and lymphoid changes (trait context: atopic eczema),atopic eczema
Autoimmune inflammation and regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f6799b22f41743ba8adf,Autoimmune inflammation and regulation (trait context: Psoriasis),Psoriasis
Autoimmune response and T-cell abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d05a58bb760e289bd295,Autoimmune response and T-cell abnormalities (trait context: type 1 diabetes mellitus),type 1 diabetes mellitus
Autoimmune susceptibility and immune development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/73eced0986419a658ea9,Autoimmune susceptibility and immune development (trait context: atopic eczema),atopic eczema
Autoimmune Susceptibility and Insulitis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b69f30ec8be8b54c5b61,Autoimmune Susceptibility and Insulitis (trait context: Severe autoimmune type 2 diabetes),Severe autoimmune type 2 diabetes
Autoimmune susceptibility and T activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/da01a8857c79306ec817,Autoimmune susceptibility and T activation (trait context: atopic eczema),atopic eczema
Autoimmune Susceptibility and Transplant Rejection,https://purl.org/okn/frink/kg/digcfdekg/node/factor/90e60d236be6abe7298c,Autoimmune Susceptibility and Transplant Rejection (trait context: childhood onset asthma),childhood onset asthma
Autoimmunity and increased T cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a17e35b3512d2a928fbb,Autoimmunity and increased T cells (trait context: Primary sclerosing cholangitis),Primary sclerosing cholangitis
Autonomic Nervous System Genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7dc81bcf752e00cac5fe,Autonomic Nervous System Genes (trait context: Familial medullary thyroid carcinoma),Familial medullary thyroid carcinoma
Autophagy-lysosome and proteasome genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7501927e5b96a312d879,Autophagy-lysosome and proteasome genes (trait context: Frontotemporal dementia),Frontotemporal dementia
Autophagy-lysosome neurodegeneration,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5142947d5652f3bf7848,Autophagy-lysosome neurodegeneration (trait context: Hereditary spastic paraplegia),Hereditary spastic paraplegia
"AV cushion, RV morphogenesis, Notch",https://purl.org/okn/frink/kg/digcfdekg/node/factor/a852e33dab3cd6042785,"AV cushion, RV morphogenesis, Notch (trait context: Tetralogy of Fallot)",Tetralogy of Fallot
AV valve and RV morphogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b191e9d231ba42ac544f,AV valve and RV morphogenesis (trait context: Tetralogy of Fallot),Tetralogy of Fallot
Axon degeneration and autophagy,https://purl.org/okn/frink/kg/digcfdekg/node/factor/98b73023d54a3347fea1,Axon degeneration and autophagy (trait context: Amyotrophic lateral sclerosis),Amyotrophic lateral sclerosis
Axon degeneration and motor neurons,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5efec5b22a3542b44fb5,Axon degeneration and motor neurons (trait context: Amyotrophic lateral sclerosis),Amyotrophic lateral sclerosis
Axon degeneration with spastic paraplegia,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6d49455386f34095e911,Axon degeneration with spastic paraplegia (trait context: Hereditary spastic paraplegia),Hereditary spastic paraplegia
Axon morphology and nerve signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/052cb29c5f46b1bb3cc2,Axon morphology and nerve signaling (trait context: Hereditary spastic paraplegia),Hereditary spastic paraplegia
Axonal spheroids with autophagy impairment,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f53811ec912d52997e3f,Axonal spheroids with autophagy impairment (trait context: Hereditary spastic paraplegia),Hereditary spastic paraplegia
Axonal transport and motor neurons,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e7aa6151e903436d1a22,Axonal transport and motor neurons (trait context: Hereditary spastic paraplegia),Hereditary spastic paraplegia
B and T cell abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ace8e35ac3492290d684,B and T cell abnormalities (trait context: autoimmune disease),autoimmune disease
B and T cell alterations,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e1aa81fde337bd1c8fda,B and T cell alterations (trait context: primary biliary cirrhosis),primary biliary cirrhosis
B and T cell changes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c0ea7dcce8fe1238ece2,B and T cell changes (trait context: multiple sclerosis),multiple sclerosis
B and T cell development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d1843e071ff47a29bf82,B and T cell development (trait context: Precursor B-cell acute lymphoblastic leukemia),Precursor B-cell acute lymphoblastic leukemia
B and T cell dysregulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b68778237c6ca1046202,B and T cell dysregulation (trait context: primary biliary cirrhosis),primary biliary cirrhosis
B cell activation and antibodies,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9f92be61d1d0ff37a211,B cell activation and antibodies (trait context: Psoriasis),Psoriasis
B cell activation and antibodies,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1014ab334f3520d5aa0c,B cell activation and antibodies (trait context: Systemic lupus erythematosus),Systemic lupus erythematosus
B cell activation and cytokines,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1da19411056e4fe83ba7,B cell activation and cytokines (trait context: Primary sclerosing cholangitis),Primary sclerosing cholangitis
B cell activation and differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3ccdc6fbc6d258438011,B cell activation and differentiation (trait context: Type 1 diabetes (T1D)),Type 1 diabetes (T1D)
B cell activation and MHCII,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c1703b06f55943ff4ea1,B cell activation and MHCII (trait context: Systemic lupus erythematosus (SLE)),Systemic lupus erythematosus (SLE)
B cell activation and NF-kB,https://purl.org/okn/frink/kg/digcfdekg/node/factor/50f790f904de1da6e9e6,B cell activation and NF-kB (trait context: IGA glomerulonephritis),IGA glomerulonephritis
B cell Activation Pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/11832be5f2bb7726e035,B cell Activation Pathways (trait context: Primary biliary cholangitis),Primary biliary cholangitis
B cell and autoantibody amplification,https://purl.org/okn/frink/kg/digcfdekg/node/factor/27e5f58d64b9a1d39af7,B cell and autoantibody amplification (trait context: Systemic lupus erythematosus),Systemic lupus erythematosus
B cell apoptosis and lymphoid,https://purl.org/okn/frink/kg/digcfdekg/node/factor/64afc525d69df93ee807,B cell apoptosis and lymphoid (trait context: Lymphoma),Lymphoma
B cell arrest and leukemia,https://purl.org/okn/frink/kg/digcfdekg/node/factor/012eb7ef17a1e3ef70ec,B cell arrest and leukemia (trait context: Lymphoma),Lymphoma
B cell differentiation and IgM,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3ccce6a9a9a543cf565e,B cell differentiation and IgM (trait context: Type 1 diabetes (T1D)),Type 1 diabetes (T1D)
B cell differentiation and immunoglobulins,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f697a2b383f23bb854ef,B cell differentiation and immunoglobulins (trait context: Lymphoma),Lymphoma
B cell differentiation and markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/17de6ec4aa75b2ddb6cf,B cell differentiation and markers (trait context: Precursor B-cell acute lymphoblastic leukemia),Precursor B-cell acute lymphoblastic leukemia
B cell differentiation and signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b1430296d8794ad0535f,B cell differentiation and signaling (trait context: Childhood-onset asthma),Childhood-onset asthma
B Cell Differentiation Arrest,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0fd6630bc9fe2e04625a,B Cell Differentiation Arrest (trait context: Non-Hodgkin lymphoma),Non-Hodgkin lymphoma
B cell differentiation regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0dc3caa9c25d00f2beff,B cell differentiation regulation (trait context: Primary biliary cholangitis),Primary biliary cholangitis
B cell expansion and autoimmunity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/64faae8c9ca098c5af2a,B cell expansion and autoimmunity (trait context: Psoriasis),Psoriasis
B cell inhibition and signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6b88fa14676c57f83da0,B cell inhibition and signaling (trait context: Systemic lupus erythematosus),Systemic lupus erythematosus
B Cell Lymphoid Amplification,https://purl.org/okn/frink/kg/digcfdekg/node/factor/354558a9dda98477f7f5,B Cell Lymphoid Amplification (trait context: Non-Hodgkin lymphoma),Non-Hodgkin lymphoma
B cell markers across tissues,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7b9acd27920da4c5f706,B cell markers across tissues (trait context: IgA nephropathy (IgAN)),IgA nephropathy (IgAN)
B cell markers and CXCR4,https://purl.org/okn/frink/kg/digcfdekg/node/factor/44a236192d9e7198a410,B cell markers and CXCR4 (trait context: Systemic lupus erythematosus (SLE)),Systemic lupus erythematosus (SLE)
B cell markers and MAP3K14,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b62d0a581728d9cbe61f,B cell markers and MAP3K14 (trait context: Systemic lupus erythematosus (SLE)),Systemic lupus erythematosus (SLE)
B cell maturation and activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/57e32d03d8b960c60a73,B cell maturation and activation (trait context: Multiple sclerosis),Multiple sclerosis
B cell mediated adaptive immunity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/47d77258a5f383c774d3,B cell mediated adaptive immunity (trait context: Systemic lupus erythematosus),Systemic lupus erythematosus
